College Code,College Name,2023,2024,Difference
1229,"Indira Institute of Engineering and Technology, No.1,V.G.R Nagar, V.G.R Gardens, Pandur, Thiruvallur -631203.",249,241,-8
1230,"Apollo Engineering College, MevaloorkuppamValarpuram Post, Sriperumbudur Taluk, KanchipuramDistrict-602105.",247,248,1
1232,"ARM College of Engineering and Technology,Sattamangalam,Maraimalainagar Post, ChengalpattuTaluk, Kanchipuram Dist-603209.",247,248,1
1233,"Adhi College of Engineering and Technology, No. 6,Munu  Adhi Nagar, Sankarapuram, PuliambakkamPost, Near Wallajabad Kancheepuram-631605.",288,348,60
1235,"Jei Mathaajee College of Engineering, No.124,Vishakandikuppam Village, Siruvakkam Post,Kanchipuram-631552.",216,213,-3
1237,"Velammal Institute of Technology, Chennai - KolkattaHighway, Pancheeti Village, Ponneri Taluk, ThiruvallurDistrict-601204.",398,398,0
1238,"GRT Institute of Engineering and Technology, GRTMahalakshmi Nagar, Chennai-Tirupathi Highway,Tiruttani, Thiruvallur-631209.",211,265,54
1241,"T.J.S. Engineering College, Peruvoyal, NearKavaraipettai,Gummidipoondi Taluk,ThiruvallurDistrict-601206.",190,212,22
1243,"Madha Institute of Engineering and Technology,Irandaam Kattalai, Sadhananthapuram, Thandalampost, Chennai-600122.",216,208,-8
1301,"Mohamed Sathak A J College of Engineering(Autonomous), #34, Rajiv Gandhi Road(OMR), ITHighway, Siruseri, Egattur, Chennai-603103.",162,281,119
1303,"Anand Institute of Higher Technology, KalasalingamNagar, Old Mahabalipuram Road, Kazhipattur Village,Chengalpattu Taluk, Kancheepuram District-603103.",414,475,61
1304,"Easwari Engineering College (Autonomous), BharathiSalai, Ramapuram, Chennai-600089.",512,911,399
1306,"Jeppiaar Engineering College, Jeppiaar Nagar, OldMammallapuram Road, Kanchipuram, Chennai-600119.",265,387,122
1307,"Jerusalem College of Engineering (Autonomous),Velachery-Tambaram Main Road,Narayanapuram,Pallikkaranai,Chennai-600100.",301,337,36
1309,"Meenakshi Sundararajan Engineering College(Autonomous), C/O I.I.E.T Society No.363, ArcotRoad, Kodambakkam, Chennai-600024.",292,435,143
1310,"Misrimal Navajee Munoth Jain Engineering College,Guru Marudhar Kesari Building, Jyothi Nagar,Thorapakkam, Chennai-600097.",161,163,2
1311,"KCG college of Technology (Autonomous), RajivGandhi Salai, Karapakkam, Chennai-600097.",365,394,29
1315,"Sri Sivasubramaniya Nadar College of Engineering(Autonomous), Rajiv Gandhi Salai (OMR),Kalavakkam,Kanchipuram District-603110.",523,530,7
1316,"Agni College of Technology (Autonomous),Thalambur Off.Rajiv Gandhi Salai, Chengalpattu Taluk,Kancheepuram District-603103.",405,426,21
1317,"St. Joseph's College of Engineering (Autonomous),Jeppiaar Nagar, Old Mamallapuram Road,Kanchipuram, Chennai-600119.",782,730,-52
1318,"T.J. Institute of Technology, Rajiv Gandhi Salai,Karapakkam, Chennai-600097.",271,272,1
1319,"Thangavelu Engineering College, Rajiv Gandhi Salai,Karapakkam, Chennai-600097.",282,283,1
1321,Central Institute of Petrochemicals Engineering andTechnology (Formerly Central Institute of PlasticsEngineering and Technology) (CIPET)  GuindyChennai 600032,109,110,1
1322,"Dhanalakshmi Srinivasan College of Engineering andTechnology, ECR, Poonjeri, Mamallapuram,Kanchipuram-603104.",652,1020,368
1324,"Sri Sai Ram Institute of Technology (Autonomous), SaiLeo Nagar, Dharkast Road, West Tambaram,Kanchipuram, Chennai-600044.",527,601,74
1325,"St. Joseph College of Engineering, Trinity Campus,Nemili B Beemanthangal Village, Sriperumbudur,Kancheepuram District, Chennai-602105.",257,327,70
1335,"Sri Krishna Institute of Technology, NavaneedamNagar, Panapakkam, Near Padappai, Kanchipuram-601301.",263,265,2
1399,Chennai Institute of Technology (Autonomous)Puduper Village  Nandambakkam Post  KundrathurChennai 600069,647,1074,427
1401,"Adhiparasakthi Engineering College, Melmaruvathur,Cheyyur Taluk, Kancheepuram District-603319.",342,343,1
1402,"Annai Teresa College of Engineering, Thirunavalur,Ulundurpet Taluk, Villupuram District-607204.",141,142,1
1405,"Dhanalakshmi College of Engineering, ManimangalamPuducheri Road, Manimangalam, ManimangalamPost, Sriperumbudur Taluk, Kancheepuram District,Chennai-601301.",263,318,55
1407,"G K M College of Engineering and Technology, G K MNagar, Alappakkam-Mappedu Road, NewPerugalathur, Chennai-600063.",193,230,37
1408,"IFET College of Engineering (Autonomous), IFETNagar, Gangarampalayam, Valavanur Post,Villupuram District-605108.",405,495,90
1409,"Karpaga Vinayaga College of Engineering andTechnology, G.S.T. Road, Chinna Kolambakkam,Palayanoor Post, Madurantagam Taluk,Kancheepuram Dist-603308.",286,337,51
1411,"Madha Engineering College, MadhaNagar,Somangalam Road, Kundrathur, Kanchipuram,Chennai-600069.",185,168,-17
1412,"Mailam Engineering College, Mailam, TindivanamTaluk, Villupuram District-604304.",647,745,98
1413,"Sri Venkateswaraa College of Technology,Sirukulathur, Vadakal Village, Mathur Post,Sriperumbhudur, Kanchipuram-602105.",212,734,522
1414,"Prince Shri Venkateshwaraa Padmavathy EngineeringCollege (Autonomous), Medavakkam - MambakkamRoad, Ponmar, Kanchipuram, Chennai-600127.",210,194,-16
1415,"T.S.M.Jain College of Technology, Melur,KallakurichiTaluk,Villupuram District-606201.",142,177,35
