College Code,College Name,2023,2024,Difference
2715,"Nandha Engineering College (Autonomous), 28,Chennimalaipalayam Road, Pitchandampalayam Post,Erode-638052.",616,665,49
2716,"Park College of Engineering and Technology, AvinashiRoad (NH-47), Kaniyur,Coimbatore-641659.",450,460,10
2717,"Sasurie College of Engineering, Vijayamangalam,Tirupur District-638056.",488,489,1
2718,"Sri Krishna College of Engineering and Technology(Autonomous), Sugunapuram, Kuniamuthur Post,Coimbatore-641008.",937,1067,130
2719,"Sri Ramakrishna Engineering College (Autonomous),Vattamalaipalayam, NGGO Colony Post,  Coimbatore-641022.",629,630,1
2721,"Tamilnadu College of Engineering, Palanisame RaviNagar, Karumathampatti Post, Coimbatore-641659.",239,229,-10
2722,"Sri Krishna College of Technology (Autonomous),Kovaipudur Post, Coimbatore-641042.",687,743,56
2723,"Velalar College of Engineering and Technology(Autonomous), Perundurai Road Thindal Post, Erode-638012.",511,587,76
2725,"Sri Ramakrishna Institute of Technology(Autonomous), Pachapalayam, Perur Chettipalayam,Coimbatore-641010.",214,216,2
2726,"SNS College of Technology (Autonomous), Sathy MainRoad, Vazhiyampalayam, Saravanampatti Post,Coimbatore-641035.",599,659,60
2727,"Sri Shakthi Institute of Engineering and Technology(Autonomous), Sri Shakthi Nagar, L & T By-pass Road,Chinniyampalayam Post, Coimbatore-641062.",1016,1269,253
2729,"Nehru Institute of Engineering and Technology(Autonomous), Nehru Gardens,Thirumalayampalayam (Post), Coimbatore-641105.",387,425,38
2731,"RVS College of Engineering and Technology(Autonomous), Kumaran Kottam Campus,Kannampalayam Post, Coimbatore-641402.",211,283,72
2732,"Info Institute of Engineering, S F No.194-200,N.H.209, Sathy Road, Sarakarsamakulam,Kovilpalayam, Coimbatore-641107.",232,276,44
2733,"Angel College of Engineering and Technology, PKPalayam PO,Dharapuram Main Road, Ugayanurvillage, Tiruppur-641665.",240,213,-27
2734,"SNS College of Engineering (Autonomous), SathyMain Road, Kurumbapalayam Post, Coimbatore-641107.",386,448,62
2735,"Karpagam Institute of Technology (Autonomous), S.F.NO. 247,248, L&T Bypass Road, Seerapalayam Village,Bodipalayam Post, Coimbatore-641105.",256,258,2
2736,"Dr N.G.P. Institute of Technology (Autonomous), Dr.N.G.P. Nagar, Kalapatti Road, Coimbatore-641048.",439,512,73
2737,"Sri Sai Ranganathan Engineering College , ViraliyurPost, Thondamuthur(via), Coimbatore-641109.",229,265,36
2739,"Sri Eshwar College of Engineering (Autonomous),Kondampatti Post, Vadasithur Via, Coimbatore-641202.",493,654,161
2740,"Hindusthan Institute of Technology (Autonomous),Othakkalmandapam Post, Coimbatore-641032.",351,389,38
2741,"P A College of Engineering and Technology(Autonomous), Palladam Road, Pollachi, CoimbatoreDt.-642002.",328,349,21
2743,"Dhanalakshmi Srinivasan College of Engineering(CBE), NH-47, Palakkad Main Road, Navakkarai Post,Coimbatore-641105.",388,512,124
2744,"Adithya Institute of Technology (Autonomous),S.F.No. 348/1,349/1, Kurumbapalayam, SSKulam(PO), Coimbatore-641107.",243,237,-6
2745,"Kathir College of Engineering (Autonomous),WISDOM TREE, Avinashi Road, Neelambur,Coimbatore-641062.",199,245,46
2747,"Shree Venkateshwara Hi-Tech Engineering College(Autonomous), Erode-Sathy Main Road,Sri KalaivaniNagar, Othakuthirai,K, Mettupalayam (Po),Gobichettipalayam (Tk), Erode (Dt)-638455.",446,567,121
2748,"Surya Engineering College, PerunduraiRoad,Manalmedu, Mettukadai,Kathirampatti Post,Erode-638107.",326,326,0
2749,"Easa College of Engineering and Technology, NH-47,Palakkad main Road, Navakkarai Post, Coimbatore-641105.",247,544,297
2750,"KIT - Kalaignarkarunanidhi Institute of Technology(Autonomous), S.F.No. 282,S.F.No. 283Kannampalayam Post, Coimbatore-641402.",422,583,161
2751,"KGISL Institute of Technology, 365, KGISL Campus,Thudiyalur Road, Saravanampatti, Coimbatore-641035.",316,388,72
2752,"Nandha College of Technology, 235,Chennimalaipalayam Road, Pitchandampalayam Post,Veppampalayam Village, Erode-638052.",258,259,1
2753,"PPG Institute of Technology, Rathnagiri Road,Saravanampatti, Coimbatore-641035.",211,338,127
2755,"Nehru Institute of Technology (Autonomous),Jawahar Gardens, Kaliapuram,Thirumalayampalayam, Coimbatore-641105.",210,283,73
2758,"JKK Munirajah College of Technology (Autonomous),377/1A, Punjai Thurayampalayam,Thookkanickenpalayam (Post),Thookkanickenpalayam, Gobi (Tk), Erode-638506.",211,464,253
2761,"United Institute of Technology (Autonomous),G.Koundampalayam, Periyanaickenpalayam,Coimbatore-641020.",224,261,37
2762,"Jansons Institute of Technology (Autonomous),SF.NO.443/1,2, 442/1A & 442/1B Karumathampatty,Coimbatore-641659.",220,323,103
2763,"Akshaya College of Engineering and Technology, SFNo.112/1CPT,114/1,115/1,116/2C, BagavathipalayamRoad,Kinathukadavu, Coimbatore-642109.",232,236,4
2764,"KPR Institute of Engineering and Technology(Autonomous), SF:204/2 & 204/4, KollupalayamVillage, Arasur Panchayat, Coimbatore-641407.",528,672,144
2767,"SRG Engineering College, SH-95,Mohanur Road,Aniyapuram, Namakkal-637017.",212,212,0
2768,"Park College of Technology, Prema Ravi Nagar,Karumathampatty, Coimbatore-641659.",179,177,-2
2769,"JCT College of Engineering and Technology(Autonomous), Pichanur, Coimbatore South Taluk,Coimbatore-641105.",405,406,1
2770,"Studyworld College of Engineering, AlaguNachiamman Koil Road, Palathurai Post, Coimbatore-641105.",211,248,37
2772,"C M S College of Engineering and Technology,Appachigoundapathy, Kumittipathy Post, Coimbatore-641032.",190,204,14
2776,"R V S Technical Campus Coimbatore, KumaranKottam Campus, Kannampalayam, Sulur, Coimbatore-641402.",211,302,91
3011,University College of Engineering  Tiruchirappalli(Bharathidasan Institute of Technology)Tiruchirappalli District 620024,975,979,4
3016,University College of Engineering  AriyalurKathankudikadu Village  Thelur Post  Ariyalur District621704,325,326,1
3018,University College of Engineering  ThirukkuvalaiNagappattinam District 610204,326,326,0
3019,University College of Engineering  Panruti  Chennai-Kumbakonam Highway  Panikkankuppam  PanrutiCuddalore District 607106,326,327,1
3021,University College of Engineering  Pattukkottai  ECRRoad  Rajamadam  Pattukkottai Taluk  ThanjavurDistrict 614701,326,272,-54
3410,"Krishnasamy College of Engineering and Technology,Nellikuppam Main Road, S.Kumarapuram, Cuddalore-607109.",248,291,43
3425,"C.K. College of Engineering & Technology, JayaramNagar, Chellangkuppam, Cuddalore-607003.",236,304,68
3454,"Sri Ramakrishna College of Engineering, Sri SaradhaNagar, NH - 45, Perambalur-621113.",211,212,1
3456,"KSK College of Engineering and Technology,Thanjavur Main Road, Ammapet (Village),Dharasuram Post, Kumbakonam Taluk, ThanjavurDistrict-612702.",322,323,1
3460,"Surya College of Engineering , Somu Nagar, Konalai,Tiruchirappalli-621132.",217,202,-15
3461,"Arifa Institute of Technology, Esanoor, Keelaiyur Post,Tirukkuvalai Taluk, Nagapattinam District-611103.",216,245,29
3464,Government College of Engineering  GandarvakottaiRoad  Sengipatti  Thanjavur District 613402,266,272,6
3465,Government College of Engineering  SrirangamSethurappatti  Tiruchirappalli District 620012,269,272,3
3466,"Nelliandavar Institute of Technology, NerunjikoraiVillage, Pudhupalayam, Ariyalur Taluk & District-621704.",289,272,-17
3701,"K Ramakrishnan College of Technology(Autonomous), Kariyamanickam Road,Mannachanallur Taluk, Tiruchirappalli-621112.",433,425,-8
3760,"Sir Issac Newton College of Engineering andTechnology, Andhanapeetai Post, Pappakoil,Nagapattinam-611102.",265,290,25
3766,"Star Lion College of Engineering and Technology,Main Road, Manankorai, Thanjavur-614206.",206,220,14
3782,"OASYS Institute of Technology, Tiruchirappalli-Thuraiyur Mani Road, Pulivalam P.O Musiri Taluk,Tiruchirappalli-621006.",300,364,64
3786,"M.A.M. School of Engineering (Autonomous), Trichy-Chennai Trunk Road, Siruganur, Tiruchirappalli-621105.",306,269,-37
3795,SRM TRP Engineering College  IrungalurManachanallur Taluk  Tiruchirappalli District 621105,350,425,75
3801,"A.V.C. College of Engineering, Mannampandal,Mayiladuthurai, Nagapattinam-609305.",300,300,0
3803,"Anjalai Ammal Mahalingam Engineering College,Kovilvenni, Thiruvarur-614403.",265,265,0
3804,"Arasu Engineering College, Chennai Main Road,Thiruvisanallur - Village, Thiruvidaimaruthur - Taluk,Kumbakonam,Thanjavur-612501.",367,351,-16
3805,"Dhanalakshmi Srinivasan Engineering College(Autonomous), Thuraiyur Road, Perambalur-621212.",989,1305,316
3806,"E.G.S. Pillay Engineering College (Autonomous), OldNagore Road, Nagore Post, Nagapattinam District-611002.",619,639,20
3807,"J.J. College of Engineering and Technology,Ammapettai, Poolankulathupatti Post, Tiruchirappalli-620009.",351,460,109
3808,"Jayaram College of Engineering and Technology,Karattampatty, Pagalavadi, Thuraiyur Taluk,Tiruchirappalli-621014.",262,267,5
3810,"M A M College of Engineering, Trichy-Chennai TrunkRoad, Siruganur, Tiruchirappalli-621105.",466,630,164
3811,"M.I.E.T. Engineering College (Autonomous), Trichy -Pudukkottai Road, Gundur, Tiruchirappalli-620007.",316,443,127
3812,"Mookambigai College of Engineering, Srinivasa Nagar,Kalamavur (PO), Keeranur, Pudukkottai-622502.",357,400,43
3813,"Oxford Engineering College, Pirattiyur, Tiruchirappalli-620009.",235,270,35
3814,"P.R. Engineering College, Thanjavur-Trichy High ways,Vallam, Thanjavur-613403.",177,192,15
3815,"Pavendar Bharathidasan College of Engineering andTechnology, Thanjai Natarajan Nagar, Opp. toBharathidasan University, Pudukkottai Main Raod,Mathur, Kulathur, Pudukkottai-622515.",211,212,1
3817,"Roever Engineering College, Elambalur (Post),Perambalur-621212.",226,290,64
3819,"Saranathan College of Engineering (Autonomous),Venkateswara Nagar, Edamalaipattipudur Post,Panjappur Village, Srirangam Taluk, Tiruchirappalli-620012.",422,425,3
3820,"Trichy Engineering College, somu Nagr,Konalai,Tiruchirappalli-621132.",329,321,-8
3821,"A.R.J College of Engineering and Technology,Thirumakkottai Main Road, Edayarnatham Village,Sundarakkottai (PO), Mannargudi Taluk, Thiruvarur-614001.",303,324,21
3822,"Dr.Navalar Nedunchezhiyan College of Engineering,Raja Nagar, Vaithiyanathapuram, Tholudur,Cuddalore-606303.",243,278,35
3825,"St. Joseph's College of Engineering and Technology,A.S.Nagar, Ellupatti, Rawasapatti Post, InathukanpattiVillage, Thanjavur-613403.",230,286,56
3826,"Kongunadu College of Engineering and Technology(Autonomous), Tholurpatti, Thottiam, Tiruchirappalli-621215.",423,526,103
3829,"M.A.M. College of Engineering and Technology, TrichyChennai Trunk Road, Siruganur, Manachanallur Taluk,Tiruchirappalli-621105.",244,263,19
3830,"K. Ramakrishnan College of Engineering(Autonomous), Kariyamanickam Road, Samayapuram,Tiruchirappalli-621112.",386,425,39
3831,"Indra Ganesan College of Engineering, Madurai MainRoad, Manikandam, Tiruchirappalli-620012.",352,480,128
3833,"Parisutham Institute of Technology and Science(Autonomous), NH 67 Ring Road, Nanjikottai,Thanjavur-613006.",194,279,85
3841,"CARE College of Engineering (Autonomous), No.27,Thayanoor village, Kuttapatti, Tiruchirappalli-620009.",235,230,-5
3843,"MRK Institute of Technology, Nattarmangalam Post,Kattumannarkoil, Cuddalore-608301.",260,278,18
3844,"Shivani Engineering College, Poolangulathupatti(Post), Srirangam (Taluk), Tiruchirappalli-620009.",211,212,1
3845,"Imayam College of Engineering, Kannanur Post,Thuraiyur Taluk, Tiruchirappalli-621206.",202,230,28
3846,"Mother Terasa College of Engineering andTechnology, Mettusalai, Illuppur (Post & Taluk),Pudukkottai District-622102.",317,339,22
3848,"Vandayar Engineering College, Pulavarnatham (Post),Mariammankovil (via), Nagai Main Road, Thanjavur-613501.",248,264,16
3849,"Annai College of Engineering and Technology,Anakudi Road, Kovilacheri, Kumbakonam, ThanjavurDistrict-612503.",480,512,32
3850,"Vetri Vinayaha College of Engineering andTechnology, Tholurpatti, Thottiam, Tiruchirappalli-621215.",142,217,75
3852,"Sri Bharathi Engineering College for Women,Aranthangi Road, Kaikurichi, Alangudi Taluk,Pudukkottai-622303.",234,234,0
3854,"Mahath Amma Institute of Engineering andTechnology, Ariyur, Mathiyanaloor-Post, AnnavasalRoad, Illupur Taluk, Pudukkottai-622101.",327,326,-1
3855,"As-Salam College of Engineering and Technology,Thirumangalakudi-Aduthurai, Thiruvidaimaruthur,Thanjavur-612102.",230,317,87
3857,"Meenakshi Ramaswamy Engineering College,M.R.Kalvi Nagar, Thathanur Post, UdayarpalayamTaluk, Ariyalur District-621804.",326,327,1
3860,"St.Anne's College of Engineering and Technology,Anguchettypalayam, Siruvathur Post, Panruti Taluk,Cuddalore District-607110.",244,245,1
3905,"Kings College of Engineering (Autonomous),Punalkulam Village, Gandarvakkottai Taluk,Pudukkottai District-613303.",306,339,33
3908,"Mount Zion College of Engineering and Technology,Lena vilakku, Pilivalam Post,  Pudukkottai-622507.",264,283,19
3918,"Shanmuganathan Engineering College, Arasampatti,Pilivalam Post, Thirumayam Taluk, PudukkottaiDistrict-622507.",212,210,-2
3920,"Sudharsan Engineering College, Sathiyamangalam,Kulathur Taluk, Pudukkottai District-622501.",226,227,1
3923,"MNSK College of Engineering, DhakshinapuramVillage, Vallathirakottai (Post), Alangudi Taluk,Pudukkottai-622305.",160,160,0
3926,"Chendhuran College of Engineering and Technology,Madurai Main Road, Lena Vilakku, Pilivalam Post,Thirumayam Taluk, Pudukkottai District-622507.",270,265,-5
4020,Anna University Regional Campus - TirunelveliTrivandrum Road  Palayamkottai  Tirunelveli District627007,213,244,31
4023,University College of Engineering  NagercoilNagercoil Industrial Estate  Konam  KanyakumariDistrict 629004,433,381,-52
4024,University V.O.C. College of Engineering  ThoothukudiNear V.O.C. College  Millerpuram  ThoothukudiDistrict 628008,271,272,1
4669,"Thamirabharani Engineering College, Ward - 1,Thatchanallur, Chattiram Puthukullam Village,Vepakullam - Chidhabra Nagar Road, Tirunelveli-627358.",272,272,0
4670,"Rohini College of Engineering and Technology(Autonomous), Palkumlam, Variyoor Post,Kanyakumari-629401.",380,394,14
4672,"Stella Mary's College of Engineering,Arunthenkanvilai, Azhikal, Kanyakumari-629202.",288,364,76
4675,"Universal College of Engineering and Technology,Anbagam Campus, Kadambankulam, Villakku,Radhapuram Road, Vallioor, Tirunelveli-627117.",271,272,1
4676,"Renganayagi Varatharaj College of Engineering,Salvarpatti Village & Post, Thayilpatti Via, SivakasiTaluk, Virudhunagar-626128.",176,191,15
4677,"Arunachala Hitech Engineering College (formerlyLourdes Mount College of Engineering andTechnology), Marthandam-Karungal Road,Chundavilai Mullanganavilai, Nattalam Post,Nattalam, Kanyakumari -629195.",190,327,137
4678,"RAMCO Institute of Technology, North VenganallurVillage, Krishnapuram Panchayat, Rajapalayam,Virudhunagar-626117.",386,425,39
4680,"AAA College of Engineering and Technology, AmathurVillage, Sivakasi, Virudhunagar-626123.",344,381,37
4686,"Good Shepherd College of Engineering andTechnology, Maruthamparai, Kaliyal Village, Kaliyal,Kanyakumari-629151.",204,177,-27
4864,"V V College of Engineering, V.V. Nagar, Arasur Village,Idaichivilai Post, Sathankulam Taluk, Tuticorin District,Tirunelveli-628656.",262,291,29
4917,"Sethu Institute of Technology (Autonomous), Pulloor,Kariapatti, Virudhunagar-626115.",746,766,20
4925,"Sun College of Engineering and Technology, UdayaNagar, Ammandivilai & Post, Kadiyapattanam,Kanyakumari-629204.",212,585,373
4927,"Maria College of Engineering and Technology, AttoorPuliyamoodu Junction, Thiruvattar P.O, Attoor,Kanyakumari-629177.",167,150,-17
4928,"Mar Ephraem College of Engineering and Technology,Malankara Hills, Elavuvillai, Kanyakumari-629171.",362,489,127
4929,"M.E.T. Engineering College, No.13/142A9/9,MogalsGarden, Chenbagaramanputhur, Thovalai Taluk,Kanyakumari district, Nagercoil-629304.",288,262,-26
4931,"Grace College of Engineering , Chandy Nagar,Mullakkadu, Thoothukudi -628005.",199,178,-21
4932,"Immanuel Arasar JJ College of Engineering,Edavilagam, Nattalam, Marthandam, Kanyakumari-629195.",152,303,151
4933,"St. Mother Theresa Engineering College, Vagaikulam,Mudivaithanendal Post, Tuticorin District-628102.",290,249,-41
4934,"Holy Cross Engineering College, 7/131, VagaikulamSrivaikuntam Express Road, Sri Mulakarai,Thannoothu Village, Srivaikuntam Taluk, Thoothukudi628851.",216,247,31
4937,"A.R College of Engineering and Technology, KadayamAlangulam Road, Near Railway Station, Kadayam,Therkkumadathur, Tirunelveli-627423.",122,88,-34
4938,"Sivaji College of Engineering and Technology,Manivilai Post, Kanyakumari -629171.",177,177,0
4941,"Unnamalai Institute of Technology, Suba Nagar,Ayyaneri Post, Kovilpatti, Thoothukudi District-628502.",215,269,54
4943,"Satyam College of Engineering and Technology,Satyam Nagar, Kannappannalur, Aralvoimozhi,Kanyakumari District-629301.",254,287,33
4944,"Arunachala College of Engineering for Women,Thanka Gardens, Manavilai, Vellichanthai, Nagercoil,Kanyakumari District-629203.",423,653,230
4946,"DMI Engineering College, Kumarapuram Road,Aralvaimozhi, Kanyakumari District-629301.",244,363,119
4949,"PSN Institute of Technology and Science,Melathediyoor, Palayamkottai Taluk, Tirunelveli-627152.",398,408,10
4952,"C.S.I. Institute of Technology, Thovalai & PO,Kanyakumari District, Nagercoil-629302.",407,462,55
4953,"Cape Institute of Technology, Rajakrishnapuram Post,Radhapuram Taluk, Levengipuram, Tirunelvei-627114.",265,408,143
4954,"Dr Sivanthi aditanar College of Engineering,Tirunelveli Road, Tiruchendur, Thoothukudi-628215.",178,191,13
4955,"Francis Xavier Engineering College (Autonomous),103 G2, By Pass Road, Vannarpettai, Tirunelveli-627003.",452,467,15
4956,"Jayamatha Engineering College, ThirurajapuramMuppandal, Aralvaimozhi, Kanyakumari-629301.",115,115,0
4957,"Jayaraj Annapackiam CSI College of Engineering,Margoschis Nagar, Nazareth, Thoothukudi District-628617.",242,303,61
4959,"Kamaraj College of Engineering and Technology(Autonomous), S.P.G.C.Nagar Post Box12,K.Vellakulam, Virudhunagar-626001.",392,425,33
4960,"Mepco Schlenk Engineering College (Autonomous),Sivakasi,Mepco Engineering CollegePost,Virudhunagar District-626005.",632,636,4
4961,"Nellai College of Engineering , Maruthakulam P.O,Nanguneri Taluk, Tirunelveli-627151.",262,281,19
4962,"National Engineering College (Autonomous), K.R.Nagar, Nalattinputhur, Kovilpatti, Tuticorin District-628503.",316,318,2
4964,PSN College of Engineering and  Technology(Autonomous) Melathediyoor  Tirunelveli-627 152,375,593,218
4965,"P.S.R. Engineering College (Autonomous),Appayanaickenpatty, Sevalpatty, Sivakasi,Virudhunagar District -626140.",351,430,79
4966,"PET Engineering College, Thiruchendur Road, Vallioor,Tirunelveli -627117.",216,249,33
4967,"S. Veerasamy Chettiar College of Engineering andTechnology, S.V.Nagar, Puliangudi (Post), Sivagiri(Taluk), Tirunelveli District-627855.",212,212,0
4968,"Sardar Raja College of Engineering, Raja Nagar,Alangulam, Tirunelveli Distict-627808.",249,272,23
4969,"SCAD College of Engineering and Technology, ScadNagar, Cheranmahadevi, Tirunelveli-627414.",307,286,-21
4970,"Sree Sowdambika College of Engineering,Chettikurichi, Aruppukottai, Virudhunagar-626134.",261,246,-15
4971,"St. Xavier's Catholic College of Engineering(Autonomous), Chunkankadai, Kanyakumari District,Nagercoil-629003.",289,339,50
4974,Government College of Engineering  TirunelveliDistrict 627007,376,381,5
4975,"Dr G.U. Pope College of Engineering, Pope Nagar,Sawyerpuram, Thoothukudi-628251.",226,253,27
4976,"Infant Jesus College of Engineering, Kamarajar Nagar,Tirunelveli-Thoothukudi Highway (NH-7A),Keelavallanadu Village, Ellanayakkan Patti Post,Srivaikundam Taluk, Thoothukudi District-628851.",150,245,95
4977,"Narayanaguru College of Engineering, Chittadavu,Manjalumoodu, Vilavancode Taluk, Kuzhithurai,Kanyakumari District-629151.",335,351,16
4978,"Udaya School of Engineering, Udaya Nagar, VellamadiJunction,Ammandivilai Post, Kanyakumarai District,Nagercoil-629204.",597,598,1
4979,"Arul Tharum VPMM College of Engineering andTechnology, V.P.M. Nagar, Krishnankovil, Srivilliputur,Virudhunagar-626190.",204,212,8
4980,"Einstein College of Engineering, Sir.C.V.Raman Nagar,Seethaparpanallur, Tirunelveli-627012.",194,342,148
4981,"Ponjesly College of Engineering, Near Parvathipuram,Alamparai, Veturnimadam Post, Nagercoil-629003.",243,299,56
4982,"Vins Christian College of Engineering, Vins Nagar,Chunkankadai, Nagercoil, Kanyakumari-629807.",352,381,29
4983,"Lord Jegannath College of Engineering andTechnology, PSN Nagar, Ramanathichanputhur,Marungoor, Kanyakumari District, Nagercoil-629402.",274,327,53
4984,"Marthandam College of Engineering and Technology,P.M.Village Road,Kuttakuzhi, Veeyannoor Post,Marthandam, Kanyakumari District-629177.",327,353,26
4986,"Noorul Islam College of Engineering and Technology,Punkarai, Thiruvithancode (PO), Kanyakumari-629174.",193,194,1
4989,"PSN Engineering College, Melathediyoor,Palayamkottai, Tirunelveli-627152.",396,436,40
4992,"Bethlahem Institute of Engineering, Nadutheri,Karungal, Kanyakumari-629157.",240,295,55
4993,"Loyola Institute of Technology and Science, P.Bo.No.2, Thovalai - Rajavoor Road, Loyola Nagar,Theroor Village, Thovalai, Kanyakumari District-629302.",388,460,72
4994,"J.P. College of Engineering, College Road, Ayikudy,Tenkasi Taluk, Tirunelveli District-627852.",298,336,38
4995,"P.S.R.R College of Engineering, Appayanaickenpatti,Sevalpatti, Sivakasi, Virudhunagar -626140.",154,163,9
4996,"Sri Vidya College of Engineering and Technology,Sivakasi Main Road, P.Kumaralingapuram,Virudhunagar-626005.",224,233,9
4998,"Mahakavi Bharathiyar College of Engineering andTechnology, Kovil Nagar, Vasudevanallur, SivagiriTaluk, Tirunelveli District -627758.",97,108,11
4999,"Annai Vailankanni College of Engineering, AVK Nagar,Pothaiyadisalai Pottalkulam, Azhagappapuram PO,Kanyakumari District, Nagercoil-629401.",231,236,5
5008,Thiagarajar College of Engineering (Autonomous)Tirupparankundram  Madurai District 625015,710,774,64
5009,Government College of EngineeringMelachokkanathapuram  Bodinayakkanur  TheniDistrict 625582,268,272,4
5010,Anna University Regional Campus - MaduraiKanyakumari National Highway  KeelakuilkudiMadurai District 625019,269,272,3
5012,Central Electrochemical Research Institute CECRI)Karaikudi  Sivagangai District 630006,30,31,1
5017,University College of Engineering  RamanathapuramPullangudi  Ramanathapuram District 623513,271,245,-26
5022,University College of Engineering  Dindigul  MangaraiPirivu  Reddiyarchathiram  Dindigul District 624622,326,327,1
5502,"Sri Raajaraajan College of Engineering andTechnology, No.146/4B1, Amaravathi Village,Amaravathypudhur(Post), Karaikudi Taluk, SivagangaiDistrict-630301.",176,212,36
5530,"SSM Institute of Engineering and Technology,Kuttathupatti Village, Begambur Post, Dindigul Taluk& District-624002.",488,489,1
5532,"Vaigai College of Engineering, Therkutheru, MelurTaluk, Madurai-625122.",176,197,21
5533,"Karaikudi Institute of Technology & KaraikudiInstitute of Management, Keeranipatti Village,Thalakkavur Panchayat, Karaikudi, Sivaganga-630307.",141,169,28
5536,"Mangayarkarasi College of Engineering, 7-1-139, 1stStreet, Mangayarkarasi Nagar, Paravai, Madurai-625402.",268,264,-4
5537,"Jainee College of Engineering and Technology,Dindigul-Theni Main Road, (NHB Extn.),Aathupattiprivu, Veerakkal B.P.O.N. Panjampatti Post,Dindigul-624303.",129,185,56
5703,"Christian College of Engineering and Technology,Near Check Post, Oddanchatram, Dindigul-624619.",340,340,0
5832,"N.P.R College of Engineering and Technology(Autonomous), Punnappatti Village, Uluppakudi,Natham, Dindigul District-624401.",239,385,146
5842,"SRM Madurai College for Engineering andTechnology, Pottapalayam Village, ManamaduraiTaluk, Sivagangai District-630611.",281,417,136
5851,"Veerammal Engineering College, PVP Nagar,K.Singrakottai, Dindigul-624708.",141,217,76
5862,"R V S Educational Trust's Group of Institutions, RVSNagar, N.Paraipatti Post, Dindigul-624005.",227,311,84
5865,"Nadar Saraswathi College of Engineering andTechnology, Vadapudupatti, Annanji Post, Theni -625531.",283,361,78
5901,Alagappa Chettair Government College of Engineeringand Technology (Autonomous)  Karaikudi  SivagangaiDistrict 630004,376,380,4
5902,"Bharath Niketan Engineering College, Shri GowriNagar, Thimmarasanaickanoor, Aundipatti, TheniDistrict-625536.",292,299,7
5904,"K.L.N.College of Engineering (Autonomous), Madurai -Nedunkulam Road, Pottapalayam, Sivagangai District-630611.",325,322,-3
5907,"Mohamed Sathak Engineering College, Sathak Nagar,East Coast Road, Pudhu Mayakulam, Kilakarai,Ramanathapuram District-623806.",319,355,36
5910,"PSNA College of Engineering and Technology(Autonomous), Kothandaraman Nagar,Muthanampatti (PO), Dindigul-624622.",686,759,73
5911,"P.T.R. College of Engineering and Technology,Thanapandiyan Nagar, Madurai - Tirumangalam Road,Madurai-625008.",116,227,111
5912,"Pandian Saraswathi Yadav Engineering College,Arasanoor Village, Thirumansolai Post, SivaganagiDistrict-630561.",325,327,2
5913,"R.V.S. College of Engineering, RVS Nagar, Karur Road,N.Paraipatti Post, Dindigul-624005.",245,413,168
5914,"Solamalai College of Engineering , S.V Raja Nagar,Veerapanjan, Madurai-625020.",194,194,0
5915,"SACS M.A.V.M.M. Engineering College, 446, Melur -Alagarkoil Road, Kidaripatti (PO), Alagarkoil Via,Melur Taluk, Madurai-625301.",251,253,2
5919,"St. Michael College of Engineering and Technology,St. Santhiagaper Nagar, Kalayarkoil, Sivaganga District630551.",312,313,1
5921,"Syed Ammal Engineering College (Autonomous), Dr.E.M.Abdullah Campus, Lanthai, Achunthanvayal Post,Ramanathapuram-623502.",226,199,-27
5924,"Ganapathy Chettiar College of Engineering andTechnology, Melakavanur (PO), Paramakudi,Ramanathapuram District-623706.",191,207,16
5930,"SBM College of Engineering and Technology, SBMNagar, Thamaraipadi(PO), Trichy Road, Dindigul-624005.",456,453,-3
5935,"Fatima Michael College of Engineering andTechnology, Senkottai Village, KalimangalamPanchayat,Sivaganga Main Road, Madurai-625020.",259,249,-10
5942,"Ultra College of Engineering and Technology , 69/1,Ultra Nagar, Kodikulam I Bit, Madurai - ChennaiHighway, Madurai-625104.",178,189,11
5986,"Velammal College of Engineering and Technology(Autonomous), Velammal Nagar, Viraganoor,Madurai -625009.",386,495,109
5988,"Theni Kammavar Sangam College of Technology,Theni Main road, Koduvilarpatti (PO),Veerapandi(Via), Theni District-625534.",230,312,82
5990,"Latha Mathavan Engineering College, Latha MathavanNagar, Kidaripatti, Melur Taluk, Madurai-625301.",320,239,-81
